VentaID;Factura;Fecha_Orden;Fecha_Entrega;Fecha_Envio;Estado;Cliente_Code;Tipo_Cliente;Nombres;Apellidos;Vendedor;Departamento;Metodo_Pago;Subtotal
58905;SO58905;30/10/2024;11/11/2024;12/11/2024;5;30113 - 50314436;SC;Raja;Venugopal;José Saraiva;Lambayeque;Debito/Credito;43152.291
65154;SO65154;29/01/2025;10/02/2025;10/02/2025;5;30113 - 50314436;SC;Raja;Venugopal;José Saraiva;Lambayeque;Debito/Credito;26709.588
49451;SO49451;28/01/2024;09/02/2024;09/02/2024;5;30037 - 60688002;SC;Jim;Stewart;Garrett Vargas;Ica;Debito/Credito;2595.6818
50708;SO50708;30/04/2024;12/05/2024;12/05/2024;5;30037 - 60688002;SC;Jim;Stewart;Garrett Vargas;Ica;Debito/Credito;5311.5351
53542;SO53542;31/07/2024;08/08/2024;08/08/2024;5;30037 - 60688002;SC;Jim;Stewart;Garrett Vargas;Ica;Debito/Credito;5942.0055
58978;SO58978;30/10/2024;12/11/2024;11/11/2024;5;30037 - 60688002;SC;Jim;Stewart;Garrett Vargas;Ica;Debito/Credito;7449.3398
65162;SO65162;29/01/2025;10/02/2025;10/02/2025;5;30037 - 60688002;SC;Jim;Stewart;Garrett Vargas;Ica;Debito/Credito;4634.91
49452;SO49452;28/01/2024;09/02/2024;09/02/2024;5;29927 - 18229695;SC;Jeffrey;Kung;Amy Alberts;Áncash;Debito/Credito;1308.9375
50665;SO50665;30/04/2024;08/05/2024;08/05/2024;5;29927 - 18229695;SC;Jeffrey;Kung;Ranjit Varkey Chudukatil;Áncash;Debito/Credito;214.6328
53461;SO53461;31/07/2024;08/08/2024;08/08/2024;5;29927 - 18229695;SC;Jeffrey;Kung;Amy Alberts;Áncash;Debito/Credito;1466.01
58912;SO58912;30/10/2024;12/11/2024;11/11/2024;5;29927 - 18229695;SC;Jeffrey;Kung;Ranjit Varkey Chudukatil;Áncash;Debito/Credito;323.994
49453;SO49453;28/01/2024;09/02/2024;10/02/2024;5;29494 - 11876780;SC;Samuel;Agcaoili;Jae Pak;;Debito/Credito;1242.8518
50709;SO50709;30/04/2024;13/05/2024;12/05/2024;5;29494 - 11876780;SC;Samuel;Agcaoili;Jae Pak;Ica;Debito/Credito;2458.9178
53543;SO53543;31/07/2024;12/08/2024;12/08/2024;5;29494 - 11876780;SC;Samuel;Agcaoili;Jae Pak;Ica;Debito/Credito;46.968
58983;SO58983;30/10/2024;12/11/2024;11/11/2024;5;29494 - 11876780;SC;Samuel;Agcaoili;Jae Pak;Ica;Debito/Credito;818.7
65166;SO65166;29/01/2025;11/02/2025;10/02/2025;5;29494 - 11876780;SC;Samuel;Agcaoili;Jae Pak;Ica;Debito/Credito;26.724
49454;SO49454;28/01/2024;09/02/2024;09/02/2024;5;29803 - 22905519;SC;Hattie;Haemon;Jae Pak;Ica;Debito/Credito;6192.8825
50667;SO50667;30/04/2024;12/05/2024;12/05/2024;5;29803 - 22905519;SC;Hattie;Haemon;Jae Pak;Ica;Debito/Credito;11443.227
53463;SO53463;31/07/2024;12/08/2024;12/08/2024;5;29803 - 22905519;SC;Hattie;Haemon;Jae Pak;Ica;Debito/Credito;2901.9075
58913;SO58913;30/10/2024;11/11/2024;11/11/2024;5;29803 - 22905519;SC;Hattie;Haemon;Jae Pak;Ica;Debito/Credito;8387.946
65171;SO65171;29/01/2025;04/02/2025;04/02/2025;5;29803 - 22905519;SC;Hattie;Haemon;Jae Pak;Ica;Debito/Credito;4718.898
49495;SO49495;28/01/2024;09/02/2024;09/02/2024;5;29484 - 79931279;SC;Gustavo;Achong;Tsvi Reiter;Cusco;Debito/Credito;24232.7654
50756;SO50756;30/04/2024;12/05/2024;12/05/2024;5;29484 - 79931279;SC;Gustavo;Achong;Tsvi Reiter;Cusco;Debito/Credito;37643.0609
49455;SO49455;28/01/2024;09/02/2024;09/02/2024;5;29528 - 32324836;SC;Stephen;Ayers;Jillian Carson;La Libertad;Debito/Credito;469.794
50714;SO50714;30/04/2024;12/05/2024;12/05/2024;5;29528 - 32324836;SC;Stephen;Ayers;Jillian Carson;;Debito/Credito;469.794
53471;SO53471;31/07/2024;08/08/2024;08/08/2024;5;29528 - 32324836;SC;Stephen;Ayers;Jillian Carson;La Libertad;Debito/Credito;38496.048
58921;SO58921;30/10/2024;11/11/2024;11/11/2024;5;29528 - 32324836;SC;Stephen;Ayers;Jillian Carson;La Libertad;Debito/Credito;34435.056
65178;SO65178;29/01/2025;11/02/2025;10/02/2025;5;29528 - 32324836;SC;Stephen;Ayers;Jillian Carson;La Libertad;Debito/Credito;39291.336
49456;SO49456;28/01/2024;09/02/2024;09/02/2024;5;29842 - 68530202;SC;Mike;Hines;Shu Ito;Piura;Debito/Credito;624.7205
50713;SO50713;30/04/2024;12/05/2024;12/05/2024;5;29842 - 68530202;SC;Mike;Hines;Shu Ito;;Debito/Credito;737.7278
53546;SO53546;31/07/2024;12/08/2024;12/08/2024;5;29842 - 68530202;SC;Mike;Hines;Shu Ito;Piura;Debito/Credito;33869.946
58995;SO58995;30/10/2024;11/11/2024;11/11/2024;5;29842 - 68530202;SC;Mike;Hines;Shu Ito;Piura;Debito/Credito;35834.142
65183;SO65183;29/01/2025;06/02/2025;06/02/2025;5;29842 - 68530202;SC;Mike;Hines;Shu Ito;Piura;Debito/Credito;36396.102
53459;SO53459;31/07/2024;12/08/2024;12/08/2024;5;29485 - 99436136;SC;Catherine;Abel;Linda Mitchell;Piura;Debito/Credito;29133.471
58907;SO58907;30/10/2024;12/11/2024;11/11/2024;5;29485 - 99436136;SC;Catherine;Abel;Linda Mitchell;Piura;Debito/Credito;28413.4274
65157;SO65157;29/01/2025;11/02/2025;10/02/2025;5;29485 - 99436136;SC;Catherine;Abel;Linda Mitchell;Piura;Debito/Credito;22021.782
49457;SO49457;28/01/2024;09/02/2024;09/02/2024;5;30110 - 37078824;SC;Gary;Vargas;Linda Mitchell;Piura;Debito/Credito;67.549
50719;SO50719;30/04/2024;12/05/2024;12/05/2024;5;30110 - 37078824;SC;Gary;Vargas;Linda Mitchell;Piura;Debito/Credito;425.8598
49458;SO49458;28/01/2024;05/02/2024;05/02/2024;5;29959 - 9270973;SC;Todd;Logan;Garrett Vargas;Ica;Debito/Credito;198.036
50710;SO50710;30/04/2024;13/05/2024;12/05/2024;5;29959 - 9270973;SC;Todd;Logan;Garrett Vargas;Ica;Debito/Credito;784.2007
53488;SO53488;31/07/2024;12/08/2024;12/08/2024;5;29959 - 9270973;SC;Todd;Logan;Garrett Vargas;Ica;Debito/Credito;70.644
59002;SO59002;30/10/2024;11/11/2024;11/11/2024;5;29959 - 9270973;SC;Todd;Logan;Garrett Vargas;Ica;Debito/Credito;404.664
65192;SO65192;29/01/2025;12/02/2025;10/02/2025;5;29959 - 9270973;SC;Todd;Logan;Garrett Vargas;Ica;Debito/Credito;358.272
49465;SO49465;28/01/2024;09/02/2024;09/02/2024;5;29486 - 88220389;SC;Kim;Abercrombie;Michael Blythe;La Libertad;Debito/Credito;41071.8424
50696;SO50696;30/04/2024;12/05/2024;12/05/2024;5;29486 - 88220389;SC;Kim;Abercrombie;Michael Blythe;La Libertad;Debito/Credito;47192.4665
53526;SO53526;31/07/2024;12/08/2024;12/08/2024;5;29486 - 88220389;SC;Kim;Abercrombie;Michael Blythe;La Libertad;Debito/Credito;34891.325
58970;SO58970;30/10/2024;11/11/2024;11/11/2024;5;29486 - 88220389;SC;Kim;Abercrombie;Michael Blythe;;Debito/Credito;27951.6011
65205;SO65205;29/01/2025;10/02/2025;10/02/2025;5;29486 - 88220389;SC;Kim;Abercrombie;Michael Blythe;La Libertad;Debito/Credito;23388.9006
49459;SO49459;28/01/2024;09/02/2024;09/02/2024;5;29852 - 30749452;SC;Eddie;Holmes;Jae Pak;Ica;Debito/Credito;648.9054
49460;SO49460;28/01/2024;09/02/2024;09/02/2024;5;29721 - 2419550;SC;Gary;Drury;Tsvi Reiter;Cusco;Debito/Credito;2186.5347
50723;SO50723;30/04/2024;13/05/2024;12/05/2024;5;29721 - 2419550;SC;Gary;Drury;Tsvi Reiter;Cusco;Debito/Credito;1531.7112
53501;SO53501;31/07/2024;13/08/2024;15/08/2024;5;29721 - 2419550;SC;Gary;Drury;Tsvi Reiter;Cusco;Debito/Credito;1130.952
58989;SO58989;30/10/2024;11/11/2024;15/11/2024;5;29721 - 2419550;SC;Gary;Drury;Tsvi Reiter;Cusco;Debito/Credito;6632.886
65229;SO65229;29/01/2025;10/02/2025;10/02/2025;5;29721 - 2419550;SC;Gary;Drury;Tsvi Reiter;Cusco;Debito/Credito;4878.798
49547;SO49547;28/01/2024;09/02/2024;09/02/2024;5;29487 - 16338231;SC;Humberto;Acevedo;Jillian Carson;Arequipa;Debito/Credito;2485.7036
53620;SO53620;31/07/2024;12/08/2024;12/08/2024;5;29487 - 16338231;SC;Humberto;Acevedo;Jillian Carson;Arequipa;Debito/Credito;1215.582
59006;SO59006;30/10/2024;08/11/2024;08/11/2024;5;29487 - 16338231;SC;Humberto;Acevedo;Jillian Carson;Arequipa;Debito/Credito;3683.94
65321;SO65321;29/01/2025;11/02/2025;10/02/2025;5;29487 - 16338231;SC;Humberto;Acevedo;Jillian Carson;Arequipa;Debito/Credito;439.866
49461;SO49461;28/01/2024;12/02/2024;09/02/2024;5;30019 - 83991702;SC;Matthew;Miller;José Saraiva;Lambayeque;Debito/Credito;182.352
50686;SO50686;30/04/2024;12/05/2024;12/05/2024;5;30019 - 83991702;SC;Matthew;Miller;Amy Alberts;Lambayeque;Debito/Credito;1502.9869
53511;SO53511;31/07/2024;13/08/2024;12/08/2024;5;30019 - 83991702;SC;Matthew;Miller;José Saraiva;Lambayeque;Debito/Credito;552.948
58960;SO58960;30/10/2024;11/11/2024;11/11/2024;5;30019 - 83991702;SC;Matthew;Miller;José Saraiva;Lambayeque;Debito/Credito;5801.934
65254;SO65254;29/01/2025;04/02/2025;04/02/2025;5;30019 - 83991702;SC;Matthew;Miller;José Saraiva;Lambayeque;Debito/Credito;125.982
49462;SO49462;28/01/2024;06/02/2024;06/02/2024;5;29847 - 39360868;SC;David;Hodgson;Linda Mitchell;Piura;Debito/Credito;648.9054
53515;SO53515;31/07/2024;06/08/2024;06/08/2024;5;29847 - 39360868;SC;David;Hodgson;Linda Mitchell;Piura;Debito/Credito;26.724
59046;SO59046;30/10/2024;11/11/2024;11/11/2024;5;29847 - 39360868;SC;David;Hodgson;Linda Mitchell;Piura;Debito/Credito;559.23
65289;SO65289;29/01/2025;10/02/2025;10/02/2025;5;29847 - 39360868;SC;David;Hodgson;Linda Mitchell;Piura;Debito/Credito;74.508
53485;SO53485;31/07/2024;12/08/2024;12/08/2024;5;29488 - 6753653;SC;Pilar;Ackerman;Syed Abbas;Cajamarca;Debito/Credito;57771.7641
58931;SO58931;30/10/2024;06/11/2024;06/11/2024;5;29488 - 6753653;SC;Pilar;Ackerman;Lynn Tsoflias;Cajamarca;Debito/Credito;49053.4638
65191;SO65191;29/01/2025;10/02/2025;10/02/2025;5;29488 - 6753653;SC;Pilar;Ackerman;Lynn Tsoflias;;Debito/Credito;56353.869
49463;SO49463;28/01/2024;06/02/2024;06/02/2024;5;29535 - 21399935;SC;Wayne;Banack;Michael Blythe;Piura;Debito/Credito;2539.6638
50695;SO50695;30/04/2024;07/05/2024;07/05/2024;5;29535 - 21399935;SC;Wayne;Banack;Michael Blythe;Piura;Debito/Credito;418.512
53517;SO53517;31/07/2024;13/08/2024;14/08/2024;5;29535 - 21399935;SC;Wayne;Banack;Michael Blythe;Piura;Debito/Credito;158.43
58964;SO58964;30/10/2024;11/11/2024;11/11/2024;5;29535 - 21399935;SC;Wayne;Banack;Michael Blythe;Piura;Debito/Credito;218.454
65291;SO65291;29/01/2025;11/02/2025;10/02/2025;5;29535 - 21399935;SC;Wayne;Banack;Michael Blythe;Piura;Debito/Credito;2783.988
49464;SO49464;28/01/2024;09/02/2024;09/02/2024;5;29559 - 72788821;SC;Robert;Bernacchi;Pamela Ansman-Wolfe;Lima;Debito/Credito;34218.0617
50693;SO50693;30/04/2024;12/05/2024;12/05/2024;5;29559 - 72788821;SC;Robert;Bernacchi;Pamela Ansman-Wolfe;Lima;Debito/Credito;32195.7427
53518;SO53518;31/07/2024;08/08/2024;08/08/2024;5;29559 - 72788821;SC;Robert;Bernacchi;Pamela Ansman-Wolfe;Lima;Debito/Credito;87783.9431
58963;SO58963;30/10/2024;11/11/2024;11/11/2024;5;29559 - 72788821;SC;Robert;Bernacchi;Pamela Ansman-Wolfe;Lima;Debito/Credito;77475.2281
65200;SO65200;29/01/2025;10/02/2025;10/02/2025;5;29559 - 72788821;SC;Robert;Bernacchi;Pamela Ansman-Wolfe;Lima;Debito/Credito;47069.4121
49840;SO49840;28/02/2024;06/03/2024;06/03/2024;5;29489 - 10104156417;SC;Frances;Adams;Shu Ito;Piura;Debito/Credito;2131.8743
51121;SO51121;30/05/2024;11/06/2024;11/06/2024;5;29489 - 10104156417;SC;Frances;Adams;Shu Ito;Piura;Debito/Credito;79635.122
55264;SO55264;30/08/2024;11/09/2024;13/09/2024;5;29489 - 10104156417;SC;Frances;Adams;Shu Ito;Piura;Debito/Credito;63981.9338
61227;SO61227;30/11/2024;12/12/2024;12/12/2024;5;29489 - 10104156417;SC;Frances;Adams;Shu Ito;Piura;Debito/Credito;57449.604
67287;SO67287;01/03/2025;13/03/2025;13/03/2025;5;29489 - 10104156417;SC;Frances;Adams;Shu Ito;Piura;Debito/Credito;74577.1531
49466;SO49466;28/01/2024;10/02/2024;09/02/2024;5;29856 - 49421238;SC;Joe;Howard;Ranjit Varkey Chudukatil;Áncash;Debito/Credito;8629.0063
50697;SO50697;30/04/2024;06/05/2024;06/05/2024;5;29856 - 49421238;SC;Joe;Howard;Ranjit Varkey Chudukatil;Áncash;Debito/Credito;7866.7665
53523;SO53523;31/07/2024;12/08/2024;12/08/2024;5;29856 - 49421238;SC;Joe;Howard;Ranjit Varkey Chudukatil;Áncash;Debito/Credito;3095.994
58969;SO58969;30/10/2024;12/11/2024;11/11/2024;5;29856 - 49421238;SC;Joe;Howard;Ranjit Varkey Chudukatil;Áncash;Debito/Credito;9700.302
65208;SO65208;29/01/2025;10/02/2025;10/02/2025;5;29856 - 49421238;SC;Joe;Howard;Ranjit Varkey Chudukatil;Áncash;Debito/Credito;4256.964
49544;SO49544;28/01/2024;11/02/2024;09/02/2024;5;29490 - 20623461644;SC;Margaret;Smith;David Campbell;Lima;Debito/Credito;405.585
49467;SO49467;28/01/2024;09/02/2024;09/02/2024;5;29770 - 51535455;SC;Kathleen;Garza;Jae Pak;Ica;Debito/Credito;38254.4351
50698;SO50698;30/04/2024;12/05/2024;12/05/2024;5;29770 - 51535455;SC;Kathleen;Garza;Jae Pak;Ica;Debito/Credito;26439.9864
53527;SO53527;31/07/2024;12/08/2024;12/08/2024;5;29770 - 51535455;SC;Kathleen;Garza;Jae Pak;Ica;Debito/Credito;73920.7391
58972;SO58972;30/10/2024;06/11/2024;06/11/2024;5;29770 - 51535455;SC;Kathleen;Garza;Jae Pak;Ica;Debito/Credito;80691.0075
65206;SO65206;29/01/2025;10/02/2025;10/02/2025;5;29770 - 51535455;SC;Kathleen;Garza;Jae Pak;Ica;Debito/Credito;68748.4235
49468;SO49468;28/01/2024;10/02/2024;09/02/2024;5;29649 - 10857533185;SC;Pat;Chambers;Garrett Vargas;Ica;Debito/Credito;36476.2562
50699;SO50699;30/04/2024;07/05/2024;07/05/2024;5;29649 - 10857533185;SC;Pat;Chambers;Garrett Vargas;Ica;Debito/Credito;28916.5984
49469;SO49469;28/01/2024;09/02/2024;09/02/2024;5;29730 - 84584146;SC;Linda;Ecoffey;Jae Pak;Ica;Debito/Credito;667.83
50735;SO50735;30/04/2024;12/05/2024;12/05/2024;5;29730 - 84584146;SC;Linda;Ecoffey;Jae Pak;Ica;Debito/Credito;2003.7163
53529;SO53529;31/07/2024;12/08/2024;12/08/2024;5;29730 - 84584146;SC;Linda;Ecoffey;Jae Pak;Ica;Debito/Credito;16.272
59043;SO59043;30/10/2024;14/11/2024;11/11/2024;5;29730 - 84584146;SC;Linda;Ecoffey;Jae Pak;;Debito/Credito;202.332
49470;SO49470;28/01/2024;09/02/2024;09/02/2024;5;29882 - 10651866;SC;Greg;Johnson;Tsvi Reiter;Cusco;Debito/Credito;546.9942
50701;SO50701;30/04/2024;06/05/2024;06/05/2024;5;29882 - 10651866;SC;Greg;Johnson;Tsvi Reiter;Cusco;Debito/Credito;777.2902
50734;SO50734;30/04/2024;09/05/2024;09/05/2024;5;29492 - 56454740;SC;Jay;Adams;Michael Blythe;La Libertad;Debito/Credito;2232.8181
53561;SO53561;31/07/2024;06/08/2024;06/08/2024;5;29492 - 56454740;SC;Jay;Adams;Michael Blythe;La Libertad;Debito/Credito;48717.09
59058;SO59058;30/10/2024;12/11/2024;11/11/2024;5;29492 - 56454740;SC;Jay;Adams;Michael Blythe;La Libertad;Debito/Credito;37209.6
65311;SO65311;29/01/2025;10/02/2025;10/02/2025;5;29492 - 56454740;SC;Jay;Adams;Michael Blythe;La Libertad;Debito/Credito;13768.02
49471;SO49471;28/01/2024;09/02/2024;09/02/2024;5;30102 - 31957837;SC;Roger;Van Houten;José Saraiva;Lambayeque;Debito/Credito;2525.4469
59048;SO59048;30/10/2024;12/11/2024;11/11/2024;5;30102 - 31957837;SC;Roger;Van Houten;José Saraiva;Lambayeque;Debito/Credito;338.994
49472;SO49472;28/01/2024;05/02/2024;05/02/2024;5;29938 - 2179385;SC;Frank;Campbell;Linda Mitchell;Piura;Debito/Credito;14819.6397
50702;SO50702;30/04/2024;12/05/2024;12/05/2024;5;29938 - 2179385;SC;Frank;Campbell;Linda Mitchell;Piura;Debito/Credito;34930.4656
53531;SO53531;31/07/2024;12/08/2024;12/08/2024;5;29938 - 2179385;SC;Frank;Campbell;Linda Mitchell;Piura;Debito/Credito;38783.562
58975;SO58975;30/10/2024;11/11/2024;11/11/2024;5;29938 - 2179385;SC;Frank;Campbell;Linda Mitchell;Piura;Debito/Credito;33623.778
65209;SO65209;29/01/2025;11/02/2025;10/02/2025;5;29938 - 2179385;SC;Frank;Campbell;Linda Mitchell;Piura;Debito/Credito;12552.204
49473;SO49473;28/01/2024;11/02/2024;09/02/2024;5;29707 - 10632433347;SC;Helen;Dennis;Jillian Carson;Cusco;Debito/Credito;13841.621
50703;SO50703;30/04/2024;13/05/2024;12/05/2024;5;29707 - 10632433347;SC;Helen;Dennis;Jillian Carson;Cusco;Debito/Credito;58041.2413
53530;SO53530;31/07/2024;09/08/2024;09/08/2024;5;29707 - 10632433347;SC;Helen;Dennis;Jillian Carson;Cusco;Debito/Credito;75647.3619
58974;SO58974;30/10/2024;11/11/2024;11/11/2024;5;29707 - 10632433347;SC;Helen;Dennis;Jillian Carson;;Debito/Credito;34640.0564
65210;SO65210;29/01/2025;10/02/2025;10/02/2025;5;29707 - 10632433347;SC;Helen;Dennis;Jillian Carson;Cusco;Debito/Credito;14525.8788
49474;SO49474;28/01/2024;09/02/2024;09/02/2024;5;29758 - 83098902;SC;Dorothy;Fox;Michael Blythe;Piura;Debito/Credito;2472.3107
65294;SO65294;29/01/2025;04/02/2025;04/02/2025;5;29758 - 83098902;SC;Dorothy;Fox;Stephen Jiang;Piura;Debito/Credito;1376.994
49475;SO49475;28/01/2024;09/02/2024;09/02/2024;5;29884 - 20272965945;SC;Brian;Johnson;Michael Blythe;La Libertad;Debito/Credito;67.539
49476;SO49476;28/01/2024;05/02/2024;05/02/2024;5;29746 - 11200469;SC;Fadi;Fakhouri;Jillian Carson;Arequipa;Debito/Credito;17725.0947
50704;SO50704;30/04/2024;12/05/2024;12/05/2024;5;29746 - 11200469;SC;Fadi;Fakhouri;Jillian Carson;;Debito/Credito;12263.9593
51805;SO51805;30/06/2024;06/07/2024;06/07/2024;5;29495 - 53723866;SC;James;Aguilar;Rachel Valdez;;Debito/Credito;762.9024
63206;SO63206;31/12/2024;13/01/2025;12/01/2025;5;29495 - 53723866;SC;James;Aguilar;Rachel Valdez;Junín;Debito/Credito;602.346
49477;SO49477;28/01/2024;05/02/2024;05/02/2024;5;29663 - 68125672;SC;Alice;Clark;Michael Blythe;La Libertad;Debito/Credito;7046.91
50705;SO50705;30/04/2024;12/05/2024;12/05/2024;5;29663 - 68125672;SC;Alice;Clark;Michael Blythe;La Libertad;Debito/Credito;10763.151
49478;SO49478;28/01/2024;03/02/2024;03/02/2024;5;29696 - 10944742613;SC;Alvaro;De Matos Miranda Filho;Shu Ito;Piura;Debito/Credito;1833.8864
50717;SO50717;30/04/2024;12/05/2024;14/05/2024;5;29696 - 10944742613;SC;Alvaro;De Matos Miranda Filho;Shu Ito;Piura;Debito/Credito;2718.3195
53538;SO53538;31/07/2024;06/08/2024;06/08/2024;5;29696 - 10944742613;SC;Alvaro;De Matos Miranda Filho;Shu Ito;Piura;Debito/Credito;20607.78
58982;SO58982;30/10/2024;11/11/2024;11/11/2024;5;29696 - 10944742613;SC;Alvaro;De Matos Miranda Filho;Shu Ito;Piura;Debito/Credito;21305.646
65167;SO65167;29/01/2025;06/02/2025;06/02/2025;5;29696 - 10944742613;SC;Alvaro;De Matos Miranda Filho;Shu Ito;Piura;Debito/Credito;19300.926
53533;SO53533;31/07/2024;12/08/2024;12/08/2024;5;29496 - 12786713;SC;Robert;Ahlering;Shu Ito;Piura;Debito/Credito;24213.5442
58979;SO58979;30/10/2024;11/11/2024;11/11/2024;5;29496 - 12786713;SC;Robert;Ahlering;Shu Ito;Piura;Debito/Credito;21423.324
65168;SO65168;29/01/2025;10/02/2025;10/02/2025;5;29496 - 12786713;SC;Robert;Ahlering;Shu Ito;Piura;Debito/Credito;20857.776
49479;SO49479;28/01/2024;09/02/2024;09/02/2024;5;29701 - 76731646;SC;Kirk;Degrasse;Jillian Carson;Arequipa;Debito/Credito;80564.8492
50683;SO50683;30/04/2024;13/05/2024;12/05/2024;5;29701 - 76731646;SC;Kirk;Degrasse;Jillian Carson;Arequipa;Debito/Credito;104482.9633
53506;SO53506;31/07/2024;13/08/2024;12/08/2024;5;29701 - 76731646;SC;Kirk;Degrasse;Jillian Carson;Arequipa;Debito/Credito;105505.3991
58950;SO58950;30/10/2024;11/11/2024;11/11/2024;5;29701 - 76731646;SC;Kirk;Degrasse;Jillian Carson;Arequipa;Debito/Credito;70286.7015
65237;SO65237;29/01/2025;11/02/2025;10/02/2025;5;29701 - 76731646;SC;Kirk;Degrasse;Jillian Carson;Arequipa;Debito/Credito;53476.7219
49480;SO49480;28/01/2024;09/02/2024;09/02/2024;5;29714 - 10920734269;SC;Rudolph;Dillon;Jae Pak;Ica;Debito/Credito;45662.0012
50664;SO50664;30/04/2024;12/05/2024;12/05/2024;5;29714 - 10920734269;SC;Rudolph;Dillon;Jae Pak;Ica;Debito/Credito;42464.0041
53456;SO53456;31/07/2024;13/08/2024;12/08/2024;5;29714 - 10920734269;SC;Rudolph;Dillon;Jae Pak;Ica;Debito/Credito;26816.5751
58911;SO58911;30/10/2024;12/11/2024;11/11/2024;5;29714 - 10920734269;SC;Rudolph;Dillon;Jae Pak;Ica;Debito/Credito;27499.866
65156;SO65156;29/01/2025;10/02/2025;11/02/2025;5;29714 - 10920734269;SC;Rudolph;Dillon;Jae Pak;Ica;Debito/Credito;30238.236
49849;SO49849;28/02/2024;13/03/2024;12/03/2024;5;29497 - 60806051;SC;François;Ferrier;Pamela Ansman-Wolfe;Lima;Debito/Credito;49152.4316
